first.name,last.name,ID,h.index,i10.index,citations,years.active,tweets,following,followers,username,twitter
Monica,Adya,pad55,2,1,26,15,,,,,0
Olutomi,Adeyemi,pad57,3,2,87,8,,,,,0
Anokye,Adam,pad59,4,2,53,5,,,,,0
Waleed,Addas,pad62,1,0,7,1,,,,,0
F. Gerard,Adams,pad69,6,5,186,40,,,,,0
Muhammad,Adnan,pad71,1,0,1,1,,,,,0
Bamidele,Adekunle,pad74,1,1,10,1,,,,,0
Michelle,Adato,pad75,8,8,298,10,,,,,0
Achyuta,Adhvaryu,pad77,5,2,62,9,,,,,0
William,Adams,pad80,3,1,327,37,,,,,0
Michael,Adjemian,pad81,4,1,45,7,,,,,0
Fabrizio,Adriani,pad82,4,4,84,12,,,,,0
Muge,Adalet,pad85,5,2,104,12,,,,,0
Anat,Admati,pad89,20,24,2422,32,,,,,0
Bernardino,Adao,pad9,7,4,183,16,,,,,0
Richard,Adams,pad90,19,23,1190,31,,,,,0
Romain,Aeberhardt,pae3,8,6,168,9,,,,,0
Bernard,Aebischer,pae5,1,1,17,8,,,,,0
Diederik,Aerts,pae6,2,0,11,1,,,,,0
Antonio,Afonso,paf1,28,52,2440,18,,,,,0
Oscar,Afonso,paf10,3,2,45,7,,,,,0
Gara,Afonso,paf14,8,7,336,12,,,,,0
Sarwat,Afzal,paf15,1,0,1,4,,,,,0
Elvin,Afandi,paf18,3,0,19,10,,,,,0
Pyemo,Afego,paf23,1,0,4,6,,,,,0
Sylvanus,Afesorgbor,paf29,2,0,13,5,,,,,0
Ermanno,Affuso,paf30,1,0,4,2,,,,,0
Talat,Afza,paf32,5,4,200,8,,,,,0
Dmitriy,Afanasyev,paf34,2,0,4,2,,,,,0
Asyraf,Afthanorhan,paf35,1,0,2,2,,,,,0
Dinçer,Afat,paf43,1,0,2,1,,,,,0
Muhammad,Afzal,paf44,1,0,3,6,,,,,0
Mustafa,Afacan,paf46,2,0,20,7,,,,,0
Luís,Afonso,paf49,3,2,44,15,,,,,0
Ana,Africano,paf5,5,3,70,5,,,,,0
Hassan,Afrouzi,paf50,1,1,20,1,,,,,0
Komivi,Afawubo,paf52,1,0,8,5,,,,,0
Sadia,Afrin,paf54,1,0,1,1,,,,,0
Massimiliano,Affinito,paf55,4,3,97,11,,,,,0
Elena,Afanasyeva,paf56,3,0,17,5,,,,,0
Anna,Steiger,paf6,1,0,6,6,,,,,0
Antonio,Affuso,paf7,2,0,7,11,,,,,0
Farzana,Afridi,paf9,6,5,136,7,,,,,0
Amanda,Agan,pag103,2,1,30,6,521,371,1227,@amandayagan,1
Per,Agrell,pag104,7,5,211,21,,,,,0
Nola,Agha,pag105,2,0,11,5,,,,,0
Richard,Agnello,pag107,4,4,88,33,,,,,0
Giovanna,Aguilar Andía,pag111,2,0,8,19,,,,,0
Arturo,Aguilar Esteva,pag113,1,1,20,1,,,,,0
Nidhi,Aggarwal,pag114,1,0,7,7,,,,,0
Horacio,Aguirre,pag116,2,0,8,11,,,,,0
Julius,Agbor,pag117,2,1,95,3,,,,,0
Marisa,Agostini,pag118,1,0,1,5,,,,,0
Aradhna,Aggarwal,pag119,6,6,152,15,,,,,0
Luis,Aguiar,pag120,3,0,26,6,,,,,0
Tushar,Agrawal,pag121,3,0,18,5,,,,,0
Diego,Agudelo,pag122,2,0,10,11,,,,,0
Otuo,Agyemang,pag123,1,0,1,2,,,,,0
Mohammed,Ageli,pag125,1,0,6,1,,,,,0
Massimiliano,Agovino,pag126,2,0,14,11,,,,,0
Tommaso,Agasisti,pag127,8,7,168,12,,,,,0
Nikhil,Agarwal,pag128,5,5,93,8,,,,,0
Philipp,Ager,pag129,5,3,135,11,,,,,0
Felix,Agyei-Sasu,pag130,1,0,1,2,,,,,0
