first.name,last.name,ID,twitter,h.index,i10.index,citations,tweets,following,followers
Matthias,Klaes,pkl20, @mkl4es ,6,3,80,"2,967",70,324
Peter,Klein,pkl1, @petergklein ,10,10,416,"5,828","2,154","8,183"
Andrzej,Klimczuk,pkl107, @andrzejklimczuk ,1,0,5,"15,500","6,143","5,601"
Jens,Klose,pkl80, @jens__klose ,8,7,123,23,61,34
Thijs,Knaap,pkn10, @thijsknaap ,3,3,63,985,212,169
Gundi,Knies,pkn24, @gundiknies ,4,2,76,"1,070",441,442
Martin,Kocher,pko29, @magratheantimes ,25,37,1945,664,550,946
David,Kohn,pko701, @davidkohn_16 ,4,4,114,755,321,552
Stanislav,Kolenikov,pko3, @statstas ,7,4,198,"7,073","1,085",920
Tom,Kompas,pko136, @tom_kompas ,12,16,473,"3,395","1,661","2,350"
Florence,Kondylis,pko416, @fkondylis ,6,5,150,453,654,476
Wojciech,Kopczuk,pko20, @wwwojtekk ,20,28,1263,"1,492",236,"1,000"
MiklÃ?s,Koren,pko6, @korenmiklos ,10,10,624,948,"1,383",557
Iikka,Korhonen,pko199, @iikkakorhonen ,12,14,689,"26,200",852,"2,046"
Dimitris,Korobilis,pko254, @dkorobilis ,13,14,906,1,1,21
Edward,Kosack,pko794, @ekosack ,1,0,4,848,232,113
Oskar,Kowalewski,pko104, @o_kowalewski ,8,7,167,34,65,36
Mark,Koyama,pko293, @markkoyama ,6,2,85,"6,109",530,"4,958"
Caroline,Krafft,pkr274, @ckrafftc ,5,3,94,170,"1,752",486
Matthias,Krapf,pkr131, @matthiaskrapf ,5,2,57,47,45,49
Oleg,Krasnopjorov,pkr201, @okrasnopjorov ,1,1,12,"1,323",404,557
Alan,Krueger,pkr63, @alan_krueger ,51,106,14740,"2,876","1,575","17,900"
Paul,Krugman,pkr10, @paulkrugman ,51,101,17585,"11,800",32,4.5M
Jan,Kunnas,pku374, @jankunnas ,4,1,39,"8,282","2,283","1,241"
Anne,Kuriakose,pku309, @atkuriakose ,2,0,9,"1,719","3,519",679
Ingrid Harvold,Kvangraven,pkv10, @ingridharvold ,1,0,3,"4,789",845,"4,460"
Marta,Lachowska,pla637, @martalachowska ,3,0,26,168,50,91
Santiago,Lago-PeÃ±as,pla71, @santiagolagop ,7,5,163,"5,921",328,"1,669"
Kamal,Lamichhane,pla799, @kamallamichhan ,2,0,7,"1,376",208,"12,600"
Neil,Lancastle,pla812, @neillancastle ,1,0,1,608,641,697
Dominika,Langenmayr,pla562, @d_langenmayr ,4,3,55,648,285,425
Sam,Langfield,pla829, @samlangfield ,6,6,183,"2,484","1,251",466
Markku,Lanne,pla260, @markkulanne ,18,25,1041,576,55,91
Valentino,Larcinese,pla117, @vlarcinese ,9,7,287,"1,318",265,801
Patrice,Laroche,pla140, @pmrlaroche ,6,4,208,5,9,6
Cristian,Larroulet Vignau,pla743, @clarroulet ,2,1,21,"11,200",997,"65,700"
Paul,Latreille,pla168, @pllatreille ,9,7,211,"12,100","1,328","1,651"
Luciano,Lavecchia,pla547, @lucianolavecchi ,2,0,9,60,"2,029","1,182"
Anne,Lavigne,pla407, @anne__lavigne ,2,0,16,"5,624",207,855
RÃ©mi,Le Gall,ple892, @legall_remi ,1,0,4,116,141,39
Andrew,Leach,ple228, @andrew_leach ,6,4,142,"80,500","1,887","19,000"
Remy,Lecat,ple453, @remylecat ,7,4,131,199,198,175
Viktor,Ledenyov,ple670, @viktoroledenyov ,1,0,3,"1,307","2,410",256
Etienne,Lehmann,ple98, @etiennelehmanne ,10,10,434,194,211,170
Fernando,Leibovici,ple692, @leibovicif ,5,5,105,110,570,165
Mark,Leonard,ple783, @jmarkleonard ,1,0,3,"3,380",502,491
Tim,Leunig,ple341, @timleunig ,7,7,161,"5,833",131,"6,559"
Andrew,Levin,ple143, @andrewtlevin ,29,40,7456,163,101,712
Philip,Levy,ple306, @philipilevy ,5,4,298,"12,600","1,123","1,932"
Eduardo,Levy Yeyati,ple99, @elyblog ,23,42,2438,"16,700",344,"32,400"
AndrÃ©s,LÃ?pez,plp8, @anlopez1962 ,5,3,139,"3,956",645,"1,802"
Ricardo,LÃ?pez,plo152, @ric4rdol ,9,8,440,57,167,131
Andreas,LÃ¶schel,pls1, @andreasloeschel ,17,26,961,"10,200","2,509","3,326"
Gerardo,Licandro,pli996, @gerardolicandro ,3,1,27,"5,032",207,"2,330"
Jeffrey,Lin,pli592, @jeffrlin ,4,4,260,498,192,223
Marco,Lombardi,plo54, @marco_jacopo ,11,13,546,34,137,109
Gladys,Lopez Acevedo,plo382, @gladyslopezwb ,8,5,188,775,39,180
Adrienne,Lucas,plu223, @profalucas ,6,5,181,137,484,491
Brian,Lucey,plu85, @brianmlucey ,21,35,1560,"105,000",538,"21,300"
Yannick,Lucotte,plu256, @ylucotte ,5,2,74,"1,736","2,356",676
Shelly,Lundberg,plu82, @shellyjlundberg ,26,32,2957,"2,231",119,"3,894"
Annamaria,Lusardi,plu347, @a_lusardi ,27,47,4121,"9,979",554,"5,988"
Jayson,Lusk,plu63, @jaysonlusk ,24,56,2314,"7,323",995,"4,605"
