first.name,last.name,ID,h.index,i10.index,citations,years.active,tweets,following,followers,username
Dennis,Dittrich,pdi16,4,3,81,14,"17,200",448,"8,445", @davdittrich 
David,Chivers,pch1198,1,0,2,4,2790,462,639, @dave_chivers 
David,Kaplan,pka253,8,8,292,16,"20,200",477,"4,655", @david_s_kaplan 
Davide,Consoli,pco102,8,7,200,14,8650,328,418, @davide_consoli 
Davide,Romelli,pro694,3,1,30,4,949,498,259, @davideromelli 
David,Bernstein,pbe1106,1,0,2,3,48,197,25, @davidhbernstein 
David,Khoudour-Cast̩ras,pkh104,4,2,68,13,"2,729","3,006","3,801", @davidkhoudour 
David,Kohn,pko701,4,4,114,6,755,321,552, @davidkohn_16 
David,Rothschild,pro1033,3,0,13,5,"15,000",96,"18,800", @davmicrot 
David,Parsley,ppa30,15,18,1298,35,991,211,118, @dc_parsley 
David,Clingingsmith,pcl60,4,3,130,13,2537,288,422, @dclingi 
Daniele,de Rigo,pde791,2,0,9,16,425,47,39, @dderigo 
David,Giles,pgi8,11,14,646,42,"9,065",131,"2,345", @DEAGiles 
Dean,Fantazzini,pfa92,7,4,137,11,"2,860",279,733, @deanfantazzini 
Dean,Karlan,pka56,30,50,3253,14,"1,532",72,"14,800", @deankarlan 
Dean,Yang,pya75,19,28,1649,13,667,218,"2,420", @deanyang 
Dennis,Essers,pes101,3,0,23,8,"1,882",121,170, @dennisessers 
Dennis,Petrie,ppe206,5,1,66,11,566,339,291, @dennisjpetrie 
Dennis,Novy,pno75,12,14,613,12,"1,158",499,"1,132", @dennisnovy 
Daniel,Garcia,pga631,2,0,9,5,"2,272",689,144, @dgarciaecon 
Sowmya,Dhanaraj,pdh57,1,0,3,4,1,62,20, @dhanarajsowmya 
Danielle,Sandler,psa1240,2,1,16,4,"3,037",289,406, @dhsandler 
Diane,Coyle,pco861,6,5,106,33,34800,"1,010","17,800", @dianecoyle1859 
Dietmar,Fehr,pfe47,6,5,161,14,96,101,33, @dietmarfehr 
Thomas,Vollrath,pvo128,6,2,223,1,837,96,"1,510", @dietzvollrath 
Dina,Pomeranz,ppo414,4,4,198,5,"26,000","4,614","27,500", @dinapomeranz 
Carlo,D'Ippoliti,pdi115,5,2,54,10,"2,616",838,464, @dippoliti 
